Date,Close
2022-03-21,1210.37
2022-03-22,1219.78
2022-03-23,1214.95
2022-03-24,1218.01
2022-03-25,1217.55
2022-03-28,1224.38
2022-03-29,1223.66
2022-03-30,1209.13
2022-03-31,1210.44
2022-04-01,1214.5
2022-04-04,1218.78
2022-04-05,1213.9
2022-04-06,1218.75
2022-04-07,1217.6
2022-04-08,1222.66
2022-04-11,1228.24
2022-04-12,1235.05
2022-04-13,1228.6
2022-04-14,1223.12
2022-04-15,1230.1
2022-04-18,1228.09
2022-04-19,1235.35
2022-04-20,1239.6
2022-04-21,1234.09
2022-04-22,1242.49
2022-04-25,1243.16
2022-04-26,1249.21
2022-04-27,1260.71
2022-04-28,1266.28
2022-04-29,1272.29
2022-05-02,1262.53
2022-05-03,1266.75
2022-05-04,1261.06
2022-05-05,1251.5
2022-05-06,1268.7
2022-05-09,1270.13
2022-05-10,1274.86
2022-05-11,1276.55
2022-05-12,1278.15
2022-05-13,1290.75
2022-05-16,1277.57
2022-05-17,1279.85
2022-05-18,1266.66
2022-05-19,1275.58
2022-05-20,1263.55
2022-05-23,1273.21
2022-05-24,1258.82
2022-05-25,1260.99
2022-05-26,1266.6
2022-05-27,1258.89
2022-05-30,1251.59
2022-05-31,1236.17
2022-06-01,1241.74
2022-06-02,1246.95
2022-06-03,1240.84
2022-06-06,1250.53
2022-06-07,1254.48
2022-06-08,1254.58
2022-06-09,1256.74
2022-06-10,1264.02
2022-06-13,1278.28
2022-06-14,1291.8
2022-06-15,1289.48
2022-06-16,1278.16
2022-06-17,1288.18
2022-06-20,1290.5
2022-06-21,1292.38
2022-06-22,1291.6
2022-06-23,1297.68
2022-06-24,1299.81
2022-06-27,1288.29
2022-06-28,1286.2
2022-06-29,1292.03
2022-06-30,1301.73
2022-07-01,1287.71
2022-07-04,1297.89
2022-07-05,1295.68
2022-07-06,1308.66
2022-07-07,1304.85
2022-07-08,1297.65
2022-07-11,1293.79
2022-07-12,1310.86
2022-07-13,1305.83
2022-07-14,1304.85
2022-07-15,1316.18
2022-07-18,1318.12
2022-07-19,1318.91
2022-07-20,1305.5
2022-07-21,1312.87
2022-07-22,1306.85
2022-07-25,1309.32
2022-07-26,1310.4
2022-07-27,1310.9
2022-07-28,1305.95
2022-07-29,1295.15
2022-08-01,1302.28
2022-08-02,1306.75
2022-08-03,1314.63
2022-08-04,1307.38
2022-08-05,1302.08
2022-08-08,1302.74
2022-08-09,1299.03
2022-08-10,1307.56
2022-08-11,1296.7
2022-08-12,1306.83
2022-08-15,1301.38
2022-08-16,1313.18
2022-08-17,1311.0
2022-08-18,1314.83
2022-08-19,1326.91
2022-08-22,1334.86
2022-08-23,1343.36
2022-08-24,1339.08
2022-08-25,1340.0
2022-08-26,1334.44
2022-08-29,1341.18
2022-08-30,1345.73
2022-08-31,1350.19
2022-09-01,1342.26
2022-09-02,1355.1
2022-09-05,1361.51
2022-09-06,1361.81
2022-09-07,1378.11
2022-09-08,1374.31
2022-09-09,1383.0
2022-09-12,1379.06
2022-09-13,1375.81
2022-09-14,1393.47
2022-09-15,1391.18
2022-09-16,1398.63
2022-09-19,1385.23
2022-09-20,1390.11
